delivery_id,order_id,expected_date,actual_date,delivery_status
600130,500130,2024-05-29,2024-05-29,On-time
600131,500131,2023-06-08,2023-06-08,On-time
600132,500132,2023-11-13,2023-11-12,On-time
600133,500133,2023-12-22,2023-12-21,On-time
600134,500134,2023-06-25,2023-06-25,On-time
600135,500135,2024-04-05,2024-04-04,On-time
600136,500136,2024-08-06,2024-08-07,On-time
600137,500137,2024-06-22,2024-06-21,On-time
600138,500138,2023-10-14,2023-10-20,Delayed
600139,500139,2024-01-15,2024-01-16,On-time
600140,500140,2024-09-28,2024-09-28,On-time
600141,500141,2023-08-29,\N,\N
600142,500142,2024-01-07,2024-01-07,On-time
600143,500143,2023-08-09,\N,Failed
600144,500144,2023-09-24,\N,\N
600145,500145,2024-08-21,2024-08-23,Delayed
600146,500146,2023-06-21,\N,\N
600147,500147,2024-01-18,2024-01-17,On-time
600148,500148,2024-03-11,2024-03-12,On-time
600149,500149,2024-09-01,2024-09-02,On-time
600150,500150,2024-01-16,2024-01-16,On-time
600151,500151,2023-12-31,2024-01-06,Delayed
600152,500152,2024-01-16,2024-01-22,Delayed
600153,500153,2023-11-18,2023-11-20,Delayed
600154,500154,2024-05-11,2024-05-10,On-time
600155,500155,2024-08-15,2024-08-14,On-time
600156,500156,2024-06-28,2024-06-28,On-time
600157,500157,2024-05-17,2024-05-16,On-time
600158,500158,2024-05-16,\N,\N
600159,500159,2024-06-19,2024-06-19,On-time
600160,500160,2024-01-28,2024-01-28,On-time
600161,500161,2024-05-26,2024-05-27,On-time
600162,500162,2023-10-30,2023-10-31,On-time
600163,500163,2024-02-04,2024-02-03,On-time
600164,500164,2023-11-10,2023-11-13,Delayed
600165,500165,2023-07-05,2023-07-10,Delayed
600166,500166,2023-12-12,2023-12-12,On-time
600167,500167,2023-12-11,2023-12-13,Delayed
600168,500168,2023-07-05,\N,Failed
600169,500169,2023-07-20,2023-07-21,On-time
600170,500170,2023-11-09,2023-11-10,On-time
600171,500171,2023-06-04,2023-06-06,Delayed
600172,500172,2024-06-18,2024-06-19,On-time
600173,500173,2024-04-16,2024-04-20,Delayed
600174,500174,2023-10-24,2023-10-30,Delayed
600175,500175,2023-12-22,2023-12-21,On-time
600176,500176,2023-10-11,2023-10-11,On-time
600177,500177,2023-10-28,2023-10-27,On-time
600178,500178,2023-09-15,2023-09-16,On-time
600179,500179,2023-12-13,2023-12-14,On-time
600180,500180,2024-07-20,2024-07-20,On-time
600181,500181,2024-06-26,2024-06-27,On-time
600182,500182,2023-07-22,2023-07-21,On-time
600183,500183,2024-05-28,2024-05-30,Delayed
600184,500184,2023-08-30,2023-08-30,On-time
600185,500185,2023-07-18,2023-07-17,On-time
600186,500186,2023-09-13,2023-09-15,Delayed
600187,500187,2024-04-18,\N,\N
600188,500188,2024-06-21,2024-06-20,On-time
600189,500189,2023-08-19,2023-08-21,Delayed
600190,500190,2024-01-03,\N,\N
600191,500191,2023-08-17,2023-08-17,On-time
600192,500192,2024-08-05,2024-08-04,On-time
600193,500193,2024-05-07,2024-05-06,On-time
600194,500194,2023-06-30,\N,\N
600195,500195,2023-08-04,2023-08-05,On-time
600196,500196,2024-08-29,2024-09-01,Delayed
600197,500197,2023-10-15,2023-10-14,On-time
600198,500198,2024-04-25,2024-04-25,On-time
600199,500199,2024-01-13,2024-01-13,On-time
600200,500200,2023-12-02,2023-12-08,Delayed
600201,500201,2023-12-15,2023-12-21,Delayed
600202,500202,2023-06-12,2023-06-18,Delayed
600203,500203,2024-04-02,2024-04-06,Delayed
600204,500204,2023-10-05,2023-10-04,On-time
600205,500205,2024-04-29,2024-05-04,Delayed
600206,500206,2024-07-29,\N,Failed
600207,500207,2024-03-03,2024-03-04,On-time
600208,500208,2024-02-24,2024-02-25,On-time
600209,500209,2023-09-26,2023-09-25,On-time
600210,500210,2023-10-04,2023-10-05,On-time
600211,500211,2023-08-23,2023-08-27,Delayed
600212,500212,2024-02-29,2024-02-29,On-time
600213,500213,2024-04-11,2024-04-13,Delayed
600214,500214,2024-03-18,\N,\N
600215,500215,2023-09-10,2023-09-10,On-time
600216,500216,2023-08-21,2023-08-21,On-time
600217,500217,2023-12-20,2023-12-19,On-time
600218,500218,2024-07-18,2024-07-22,Delayed
600219,500219,2024-08-23,2024-08-23,On-time
600220,500220,2024-08-29,2024-08-29,On-time
600221,500221,2024-09-22,2024-09-26,Delayed
600222,500222,2023-12-31,\N,Failed
600223,500223,2024-06-07,2024-06-07,On-time
600224,500224,2023-10-18,2023-10-17,On-time
600225,500225,2024-08-05,2024-08-05,On-time
600226,500226,2024-02-05,2024-02-11,Delayed
600227,500227,2024-07-10,2024-07-11,On-time
600228,500228,2024-06-26,2024-06-26,On-time
600229,500229,2024-06-08,2024-06-08,On-time
600230,500230,2024-07-16,2024-07-15,On-time
600231,500231,2023-08-10,\N,\N
600232,500232,2024-09-05,2024-09-04,On-time
600233,500233,2023-11-27,2023-11-26,On-time
600234,500234,2024-08-03,2024-08-03,On-time
600235,500235,2023-06-27,2023-06-27,On-time
600236,500236,2023-06-17,\N,Failed
600237,500237,2024-05-10,2024-05-09,On-time
600238,500238,2024-02-14,\N,\N
600239,500239,2023-12-18,2023-12-23,Delayed
600240,500240,2024-06-20,2024-06-20,On-time
600241,500241,2024-05-29,2024-05-29,On-time
600242,500242,2023-09-12,2023-09-12,On-time
600243,500243,2023-08-08,2023-08-07,On-time
600244,500244,2023-10-25,\N,Failed
600245,500245,2023-11-15,2023-11-14,On-time
600246,500246,2024-09-17,2024-09-17,On-time
600247,500247,2023-09-04,\N,\N
600248,500248,2024-08-23,2024-08-22,On-time
600249,500249,2024-07-17,2024-07-16,On-time
600250,500250,2024-03-30,2024-03-30,On-time
600251,500251,2024-04-25,2024-04-29,Delayed
600252,500252,2023-11-01,2023-11-05,Delayed
600253,500253,2023-07-19,2023-07-18,On-time
600254,500254,2024-03-08,2024-03-07,On-time
600255,500255,2024-09-30,2024-10-01,On-time
600256,500256,2023-09-20,\N,Failed
600257,500257,2024-02-02,2024-02-01,On-time
600258,500258,2024-03-12,2024-03-11,On-time
600259,500259,2024-02-13,2024-02-12,On-time
600260,500260,2024-02-16,2024-02-20,Delayed
600261,500261,2024-04-17,2024-04-23,Delayed
600262,500262,2024-05-22,\N,Failed
600263,500263,2024-05-30,\N,\N
600264,500264,2024-03-09,\N,Failed
600265,500265,2023-07-08,2023-07-08,On-time
600266,500266,2024-03-23,2024-03-24,On-time
600267,500267,2024-07-30,2024-07-30,On-time
600268,500268,2024-09-15,2024-09-16,On-time
600269,500269,2023-10-07,2023-10-08,On-time
600270,500270,2024-01-24,2024-01-23,On-time
600271,500271,2023-12-23,2023-12-24,On-time
600272,500272,2024-01-17,2024-01-23,Delayed
600273,500273,2024-07-17,2024-07-17,On-time
600274,500274,2024-06-20,2024-06-20,On-time
600275,500275,2024-09-09,2024-09-11,Delayed
600276,500276,2024-03-07,2024-03-07,On-time
600277,500277,2024-04-02,2024-04-02,On-time
600278,500278,2024-03-25,2024-03-25,On-time
600279,500279,2023-08-19,2023-08-20,On-time
600280,500280,2024-02-22,2024-02-23,On-time
600281,500281,2024-06-08,2024-06-09,On-time
600282,500282,2024-06-30,2024-07-01,On-time
600283,500283,2023-09-06,2023-09-05,On-time
600284,500284,2023-12-31,2023-12-31,On-time
600285,500285,2024-07-28,2024-07-27,On-time
600286,500286,2023-12-26,2023-12-27,On-time
600287,500287,2023-11-29,2023-11-30,On-time
600288,500288,2024-02-07,2024-02-11,Delayed
600289,500289,2023-08-30,2023-08-31,On-time
600290,500290,2024-01-18,2024-01-17,On-time
600291,500291,2024-09-03,2024-09-04,On-time
600292,500292,2024-07-22,2024-07-21,On-time
600293,500293,2024-07-22,2024-07-28,Delayed
600294,500294,2023-12-24,2023-12-23,On-time
600295,500295,2024-02-01,2024-01-31,On-time
600296,500296,2024-09-25,2024-09-26,On-time
600297,500297,2024-02-15,2024-02-14,On-time
600298,500298,2024-07-06,2024-07-07,On-time
600299,500299,2023-12-27,\N,Failed
600300,500300,2024-02-21,\N,\N
600301,500301,2023-06-10,2023-06-09,On-time
600302,500302,2024-04-18,2024-04-18,On-time
600303,500303,2024-05-15,2024-05-18,Delayed
600304,500304,2023-10-04,2023-10-03,On-time
600305,500305,2024-06-27,\N,Failed
600306,500306,2024-04-24,2024-04-23,On-time
600307,500307,2024-07-17,\N,\N
600308,500308,2024-07-14,2024-07-14,On-time
600309,500309,2023-09-15,2023-09-15,On-time
600310,500310,2023-12-06,2023-12-08,Delayed
600311,500311,2024-08-07,2024-08-08,On-time
600312,500312,2023-07-07,2023-07-08,On-time
600313,500313,2024-07-05,\N,\N
600314,500314,2023-10-18,2023-10-21,Delayed
600315,500315,2024-07-28,2024-07-27,On-time
600316,500316,2024-08-26,2024-08-26,On-time
600317,500317,2024-04-15,2024-04-21,Delayed
600318,500318,2024-01-03,2024-01-02,On-time
600319,500319,2023-06-29,2023-06-29,On-time
600320,500320,2024-08-10,2024-08-11,On-time
600321,500321,2024-06-03,2024-06-03,On-time
600322,500322,2024-04-17,2024-04-21,Delayed
600323,500323,2024-09-30,2024-10-06,Delayed
600324,500324,2024-08-21,2024-08-21,On-time
600325,500325,2023-10-10,2023-10-11,On-time
600326,500326,2024-03-07,2024-03-06,On-time
600327,500327,2024-07-29,2024-07-29,On-time
600328,500328,2023-07-02,2023-07-04,Delayed
600329,500329,2023-08-14,\N,Failed
600330,500330,2023-11-28,\N,Failed
600331,500331,2023-07-09,2023-07-10,On-time
600332,500332,2024-04-24,2024-04-23,On-time
600333,500333,2023-06-09,2023-06-09,On-time
600334,500334,2024-04-11,2024-04-10,On-time
600335,500335,2023-11-06,2023-11-12,Delayed
600336,500336,2023-06-22,2023-06-25,Delayed
600337,500337,2024-04-08,\N,Failed
600338,500338,2024-03-15,2024-03-16,On-time
600339,500339,2023-12-01,\N,\N
600340,500340,2023-08-23,2023-08-23,On-time
600341,500341,2024-01-08,2024-01-14,Delayed
600342,500342,2024-04-23,\N,\N
600343,500343,2024-01-28,2024-01-29,On-time
600344,500344,2024-06-07,2024-06-07,On-time
600345,500345,2023-12-03,2023-12-02,On-time
600346,500346,2024-02-19,2024-02-23,Delayed
600347,500347,2024-01-08,2024-01-07,On-time
600348,500348,2024-08-05,2024-08-06,On-time
600349,500349,2023-07-02,\N,Failed
600350,500350,2023-11-05,2023-11-11,Delayed
600351,500351,2024-08-09,2024-08-09,On-time
600352,500352,2023-10-11,2023-10-12,On-time
600353,500353,2023-10-24,2023-10-24,On-time
600354,500354,2024-07-06,2024-07-06,On-time
600355,500355,2023-06-22,2023-06-24,Delayed
600356,500356,2024-09-17,2024-09-20,Delayed
600357,500357,2024-03-26,2024-03-26,On-time
600358,500358,2023-08-15,2023-08-14,On-time
600359,500359,2023-10-09,2023-10-11,Delayed
600360,500360,2024-05-24,2024-05-23,On-time
600361,500361,2023-10-18,2023-10-23,Delayed
600362,500362,2024-05-08,2024-05-07,On-time
600363,500363,2023-10-29,2023-10-28,On-time
600364,500364,2024-10-01,2024-10-03,Delayed
600365,500365,2023-11-10,2023-11-15,Delayed
600366,500366,2024-01-23,2024-01-28,Delayed
600367,500367,2023-10-23,2023-10-22,On-time
600368,500368,2024-01-23,2024-01-24,On-time
600369,500369,2024-03-28,2024-03-28,On-time
600370,500370,2023-06-16,2023-06-15,On-time
600371,500371,2023-12-01,\N,Failed
600372,500372,2023-06-17,2023-06-18,On-time
600373,500373,2024-04-26,2024-04-28,Delayed
600374,500374,2023-07-01,2023-07-01,On-time
600375,500375,2024-03-22,2024-03-22,On-time
600376,500376,2024-08-04,2024-08-04,On-time
600377,500377,2023-11-26,2023-11-27,On-time
600378,500378,2024-03-18,2024-03-19,On-time
600379,500379,2024-07-18,2024-07-24,Delayed
600380,500380,2024-02-03,2024-02-03,On-time
600381,500381,2024-06-09,2024-06-10,On-time
600382,500382,2023-07-16,\N,\N
600383,500383,2024-08-02,2024-08-02,On-time
600384,500384,2024-06-25,2024-06-24,On-time
600385,500385,2024-09-28,2024-09-29,On-time
600386,500386,2024-03-27,\N,\N
600387,500387,2024-04-16,2024-04-17,On-time
600388,500388,2023-07-04,2023-07-04,On-time
600389,500389,2024-07-11,2024-07-11,On-time
600390,500390,2024-05-08,\N,\N
600391,500391,2024-08-31,\N,\N
600392,500392,2023-08-08,\N,\N
600393,500393,2023-12-19,2023-12-19,On-time
600394,500394,2024-02-19,2024-02-20,On-time
600395,500395,2023-08-22,2023-08-23,On-time
600396,500396,2024-03-24,2024-03-25,On-time
600397,500397,2024-06-10,2024-06-11,On-time
600398,500398,2023-06-15,2023-06-20,Delayed
600399,500399,2024-05-28,\N,Failed
600400,500400,2024-01-29,2024-01-30,On-time
600401,500401,2023-11-06,2023-11-06,On-time
600402,500402,2024-02-09,2024-02-09,On-time
600403,500403,2023-10-21,2023-10-22,On-time
600404,500404,2024-03-01,2024-02-29,On-time
600405,500405,2023-06-23,2023-06-22,On-time
600406,500406,2024-07-20,2024-07-19,On-time
600407,500407,2023-06-05,2023-06-05,On-time
600408,500408,2024-08-01,2024-08-01,On-time
600409,500409,2023-07-06,2023-07-05,On-time
600410,500410,2024-04-15,2024-04-15,On-time
600411,500411,2023-08-10,2023-08-13,Delayed
600412,500412,2024-05-11,2024-05-11,On-time
600413,500413,2024-07-02,2024-07-07,Delayed
600414,500414,2024-06-11,2024-06-13,Delayed
600415,500415,2024-09-27,2024-09-27,On-time
600416,500416,2023-10-29,2023-10-29,On-time
600417,500417,2023-08-17,2023-08-17,On-time
600418,500418,2023-06-09,2023-06-10,On-time
600419,500419,2024-07-07,2024-07-06,On-time
600420,500420,2023-08-15,2023-08-15,On-time
600421,500421,2023-09-01,\N,\N
600422,500422,2023-11-17,2023-11-17,On-time
600423,500423,2023-06-23,2023-06-28,Delayed
600424,500424,2023-07-12,2023-07-18,Delayed
600425,500425,2024-08-29,2024-08-30,On-time
600426,500426,2024-08-13,2024-08-13,On-time
600427,500427,2023-11-20,2023-11-19,On-time
600428,500428,2024-07-19,2024-07-19,On-time
600429,500429,2024-01-14,2024-01-13,On-time
600430,500430,2023-06-06,2023-06-06,On-time
600431,500431,2024-05-29,2024-05-30,On-time
600432,500432,2024-05-15,\N,Failed
600433,500433,2024-01-29,2024-01-29,On-time
600434,500434,2024-04-15,2024-04-14,On-time
600435,500435,2024-01-23,2024-01-24,On-time
600436,500436,2023-10-17,2023-10-22,Delayed
600437,500437,2024-07-26,2024-07-26,On-time
600438,500438,2024-03-01,2024-03-01,On-time
600439,500439,2023-07-22,2023-07-21,On-time
600440,500440,2023-08-22,2023-08-23,On-time
600441,500441,2023-11-21,\N,Failed
600442,500442,2024-05-22,2024-05-24,Delayed
600443,500443,2023-10-27,2023-10-27,On-time
600444,500444,2023-07-12,2023-07-12,On-time
600445,500445,2023-08-02,2023-08-02,On-time
600446,500446,2024-07-16,2024-07-20,Delayed
600447,500447,2023-06-22,2023-06-23,On-time
600448,500448,2024-06-02,2024-06-01,On-time
600449,500449,2024-09-27,2024-09-27,On-time
600450,500450,2024-01-09,2024-01-10,On-time
600451,500451,2023-07-05,\N,Failed
600452,500452,2024-01-09,2024-01-10,On-time
600453,500453,2023-06-25,2023-06-27,Delayed
600454,500454,2023-12-16,2023-12-17,On-time
600455,500455,2024-08-15,2024-08-15,On-time
600456,500456,2023-07-20,2023-07-21,On-time
600457,500457,2024-03-06,2024-03-05,On-time
600458,500458,2023-08-25,2023-08-26,On-time
600459,500459,2024-01-03,2024-01-03,On-time
600460,500460,2024-01-17,2024-01-18,On-time
600461,500461,2023-10-17,2023-10-19,Delayed
600462,500462,2024-01-16,2024-01-17,On-time
600463,500463,2024-06-27,2024-06-28,On-time
600464,500464,2024-09-28,2024-09-29,On-time
600465,500465,2023-12-26,\N,Failed
600466,500466,2024-05-16,2024-05-17,On-time
600467,500467,2024-03-18,2024-03-18,On-time
600468,500468,2024-08-27,\N,Failed
600469,500469,2024-02-03,2024-02-03,On-time
600470,500470,2024-04-07,\N,Failed
600471,500471,2023-06-29,2023-07-01,Delayed
600472,500472,2023-12-15,2023-12-16,On-time
600473,500473,2024-04-16,2024-04-22,Delayed
600474,500474,2024-02-03,2024-02-07,Delayed
600475,500475,2024-08-06,2024-08-07,On-time
600476,500476,2023-08-27,2023-08-26,On-time
600477,500477,2024-09-30,2024-10-05,Delayed
600478,500478,2024-07-13,2024-07-12,On-time
600479,500479,2024-07-24,2024-07-30,Delayed
600480,500480,2024-02-20,2024-02-19,On-time
600481,500481,2023-10-27,2023-10-27,On-time
600482,500482,2024-06-28,2024-06-27,On-time
600483,500483,2024-09-16,2024-09-17,On-time
600484,500484,2024-04-15,2024-04-16,On-time
600485,500485,2023-06-09,2023-06-10,On-time
600486,500486,2024-10-04,2024-10-03,On-time
600487,500487,2024-08-16,2024-08-15,On-time
600488,500488,2023-11-04,2023-11-09,Delayed
600489,500489,2024-07-15,2024-07-15,On-time
600490,500490,2023-11-30,2023-11-30,On-time
600491,500491,2024-04-01,\N,\N
600492,500492,2023-10-06,\N,Failed
600493,500493,2024-01-02,\N,\N
600494,500494,2024-08-11,\N,\N
600495,500495,2023-12-03,2023-12-04,On-time
600496,500496,2023-10-13,\N,Failed
600497,500497,2023-09-02,2023-09-01,On-time
600498,500498,2024-03-10,2024-03-11,On-time
600499,500499,2024-08-29,2024-08-28,On-time
600500,500500,2023-08-31,2023-08-31,On-time
600501,500501,2024-03-28,2024-03-29,On-time
600502,500502,2023-09-23,2023-09-26,Delayed
600503,500503,2023-09-23,2023-09-23,On-time
600504,500504,2023-09-09,2023-09-09,On-time
600505,500505,2024-01-16,\N,\N
600506,500506,2024-09-04,2024-09-05,On-time
600507,500507,2024-07-03,2024-07-02,On-time
600508,500508,2024-09-27,2024-09-26,On-time
600509,500509,2024-07-14,2024-07-19,Delayed
600510,500510,2024-04-30,2024-05-01,On-time
600511,500511,2024-01-06,2024-01-06,On-time
600512,500512,2024-06-20,2024-06-21,On-time
600513,500513,2023-11-23,2023-11-23,On-time
600514,500514,2024-03-31,2024-03-30,On-time
600515,500515,2023-07-20,2023-07-20,On-time
600516,500516,2023-08-19,2023-08-21,Delayed
600517,500517,2023-06-25,2023-06-24,On-time
600518,500518,2023-11-19,2023-11-19,On-time
600519,500519,2024-09-22,2024-09-22,On-time
600520,500520,2024-04-13,2024-04-19,Delayed
600521,500521,2023-09-28,2023-09-27,On-time
600522,500522,2024-08-25,2024-08-24,On-time
600523,500523,2023-06-28,2023-07-01,Delayed
600524,500524,2023-11-08,\N,\N
600525,500525,2024-07-14,2024-07-15,On-time
600526,500526,2024-09-08,\N,Failed
600527,500527,2024-02-03,2024-02-03,On-time
600528,500528,2023-06-12,2023-06-13,On-time
600529,500529,2023-09-03,2023-09-05,Delayed
600530,500530,2024-07-05,2024-07-04,On-time
600531,500531,2023-09-29,\N,Failed
600532,500532,2023-06-28,2023-06-30,Delayed
600533,500533,2024-05-19,2024-05-22,Delayed
600534,500534,2023-07-24,2023-07-24,On-time
600535,500535,2024-09-22,2024-09-21,On-time
600536,500536,2024-08-31,2024-08-31,On-time
600537,500537,2024-04-04,2024-04-08,Delayed
600538,500538,2023-07-05,2023-07-08,Delayed
600539,500539,2023-08-07,2023-08-09,Delayed
600540,500540,2023-09-11,2023-09-11,On-time
600541,500541,2024-09-14,2024-09-13,On-time
600542,500542,2024-07-09,2024-07-08,On-time
600543,500543,2024-07-21,2024-07-22,On-time
600544,500544,2024-03-13,2024-03-16,Delayed
600545,500545,2024-05-20,2024-05-23,Delayed
600546,500546,2024-01-09,2024-01-08,On-time
600547,500547,2024-03-05,2024-03-05,On-time
600548,500548,2024-09-08,2024-09-08,On-time
600549,500549,2023-11-22,2023-11-22,On-time
600550,500550,2023-06-08,2023-06-07,On-time
600551,500551,2024-06-02,2024-06-01,On-time
600552,500552,2023-11-11,2023-11-11,On-time
600553,500553,2024-06-24,2024-06-27,Delayed
600554,500554,2024-02-13,2024-02-15,Delayed
600555,500555,2024-04-09,\N,\N
600556,500556,2023-10-17,\N,Failed
600557,500557,2023-11-19,2023-11-19,On-time
600558,500558,2023-06-19,2023-06-20,On-time
600559,500559,2024-04-24,2024-04-24,On-time
600560,500560,2024-09-22,2024-09-23,On-time
600561,500561,2024-06-25,2024-06-25,On-time
600562,500562,2024-08-13,2024-08-18,Delayed
600563,500563,2023-09-20,2023-09-19,On-time
600564,500564,2024-08-02,\N,Failed
600565,500565,2024-08-12,2024-08-13,On-time
600566,500566,2024-04-20,2024-04-20,On-time
600567,500567,2023-07-20,2023-07-21,On-time
600568,500568,2024-03-03,2024-03-03,On-time
600569,500569,2023-12-18,\N,Failed
600570,500570,2024-08-06,2024-08-06,On-time
600571,500571,2024-06-06,2024-06-07,On-time
600572,500572,2024-08-20,2024-08-20,On-time
600573,500573,2024-03-20,2024-03-26,Delayed
600574,500574,2024-08-01,2024-07-31,On-time
600575,500575,2024-08-05,2024-08-06,On-time
600576,500576,2024-04-01,2024-04-02,On-time
600577,500577,2024-06-23,2024-06-24,On-time
600578,500578,2024-05-25,2024-05-25,On-time
600579,500579,2024-07-16,2024-07-16,On-time
600580,500580,2024-03-30,2024-04-01,Delayed
600581,500581,2023-09-11,2023-09-11,On-time
600582,500582,2023-11-29,2023-11-28,On-time
600583,500583,2024-01-13,2024-01-12,On-time
600584,500584,2023-11-30,2023-12-03,Delayed
600585,500585,2023-12-27,2023-12-28,On-time
600586,500586,2023-10-04,2023-10-03,On-time
600587,500587,2023-06-08,2023-06-07,On-time
600588,500588,2024-08-30,2024-08-31,On-time
600589,500589,2024-02-12,2024-02-13,On-time
600590,500590,2024-05-14,2024-05-15,On-time
